Designator,Value,Footprint,JLCPCB Part #
"C1,C2,C3,C4,C5,C6,C9,C12,C13,C14,C15,C16,C17,C18",0.1u,C0402,C1525
"C7,C8,C19",4.7u,C0402,-- mixed values --
"C10,C11",18p,C0402,C1512022
"J1,J2,J6,J7",Conn_02x18_Odd_Even,PinHeader_2x18_P2.54mm_Vertical,
J3,ENC_1,PinHeader_2x05_P2.54mm_Vertical,
J4,ENC_2,PinHeader_2x05_P2.54mm_Vertical,
J5,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
J8,ENC_3,PinHeader_2x05_P2.54mm_Vertical,
J9,ENC_4,PinHeader_2x05_P2.54mm_Vertical,
"J10,J11",Conn_01x06_Pin,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,
"J12,J13,J14,J15",Conn_01x04_Pin,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,
"J16,J17,J18,J19",Conn_01x02_Pin,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,
"R1,R2,R4,R5,R6,R7,R10,R11,R12,R13,R14,R15,R21,R22,R23,R24,R25,R26,R30,R31,R32,R33,R34,R35",1k,R0402,C11702
"R3,R8,R9,R16,R17,R18,R27,R28,R29,R36,R37,R38",120,R0402,C25079
R19,12k,R0402,C25752
R20,1M,R0402,
R39,10k,R0402,C25744
"R40,R41",5k1,R0402,-- mixed values --
"U2,U3,U5,U6",AM26LV32xD,SOIC-16_3.9x9.9mm_P1.27mm,C524786
U4,USB3300-EZK,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C108383
Y1,Crystal,Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm,C1985382
